EPISODE,LUX,STATE_IDX,PWM,REWARD,EPSILON,ALPHA_LAST,Q_S2_LIGHT_UP,Q_S2_LIGHT_DOWN
88,195.00,1,20,-0.0400,0.9157,0.0714,2.4263,2.1929
89,195.00,1,30,-0.0400,0.9148,0.0769,2.4263,2.1929
90,259.17,2,40,0.5417,0.9139,0.2000,2.4263,2.1929
91,325.00,2,30,0.7000,0.9130,0.1667,2.4263,2.1929
92,259.17,2,30,0.5417,0.9121,0.1667,2.4263,2.1929
93,259.17,2,30,0.6017,0.9112,0.1429,2.4263,2.1929
94,259.17,2,30,0.6017,0.9102,0.1250,2.4263,2.1929
95,259.17,2,30,0.6017,0.9093,0.1111,2.4263,2.1929
96,259.17,2,30,0.6017,0.9084,0.1000,2.4263,2.1929
97,259.17,2,30,0.6017,0.9075,0.0909,2.4263,2.1929
98,260.00,2,20,0.6100,0.9066,0.1429,2.4263,2.1929
99,194.17,1,20,-0.1083,0.9057,0.0667,2.4263,2.1929
100,194.17,1,30,-0.0483,0.9048,0.0714,2.4263,2.1929
101,260.83,2,40,0.5583,0.9039,0.1667,2.4263,2.1929
102,325.83,2,40,0.6917,0.9030,0.0833,2.4263,2.1929
103,326.67,2,30,0.7433,0.9021,0.1250,2.4263,2.1929
104,260.83,2,20,0.5583,0.9012,0.1111,2.4263,2.1929
105,194.17,1,20,-0.1083,0.9003,0.0625,2.4263,2.1929
106,194.17,1,10,-0.0483,0.8994,0.0476,2.4263,2.1929
107,128.33,1,10,-0.7667,0.8985,0.0588,2.4263,2.1929
108,128.33,1,0,-0.7067,0.8976,0.0455,2.4263,2.1929
109,62.50,0,10,-1.0000,0.8967,0.0769,2.4263,2.1929
110,128.33,1,0,-0.7667,0.8958,0.0435,2.4263,2.1929
111,62.50,0,0,-1.0000,0.8949,0.1429,2.4263,2.1929
112,62.50,0,10,-1.0000,0.8940,0.0714,2.4263,2.1929
113,128.33,1,10,-0.7667,0.8931,0.0556,2.4263,2.1929
114,128.33,1,20,-0.7067,0.8922,0.0667,2.4263,2.1929
115,194.17,1,30,-0.1083,0.8913,0.0625,2.4263,2.1929
116,260.83,2,20,0.5583,0.8904,0.1000,2.4263,2.1929
117,194.17,1,30,-0.1083,0.8895,0.0588,2.4263,2.1929
118,260.83,2,40,0.5583,0.8886,0.1429,2.4263,2.1929
119,325.83,2,40,0.6917,0.8878,0.0769,2.4263,2.1929
120,326.67,2,50,0.7433,0.8869,0.1250,2.4263,2.1929
121,392.50,3,50,0.0250,0.8860,1.0000,2.4263,2.1929
122,393.33,3,60,0.0767,0.8851,1.0000,2.4263,2.1929
123,459.17,3,50,-0.6417,0.8842,0.5000,2.4263,2.1929
124,392.50,3,40,0.0250,0.8833,0.3333,2.4263,2.1929
125,326.67,2,40,0.6833,0.8824,0.0714,2.4263,2.1929
126,325.83,2,40,0.7517,0.8816,0.0667,2.4263,2.1929
127,325.83,2,50,0.7517,0.8807,0.1111,2.4263,2.1929
128,392.50,3,40,0.0250,0.8798,0.2500,2.4263,2.1929
129,326.67,2,40,0.6833,0.8789,0.0625,2.4263,2.1929
130,325.83,2,40,0.7517,0.8780,0.0588,2.4263,2.1929
131,325.00,2,50,0.7600,0.8772,0.1000,2.4263,2.1929
132,391.67,3,60,0.0333,0.8763,0.5000,2.4263,2.1929
133,457.50,3,60,-0.6250,0.8754,0.5000,2.4263,2.1929
134,458.33,3,60,-0.5733,0.8745,0.3333,2.4263,2.1929
135,460.00,3,60,-0.5900,0.8737,0.2500,2.4263,2.1929
136,459.17,3,50,-0.5817,0.8728,0.2000,2.4263,2.1929
137,392.50,3,40,0.0250,0.8719,0.1667,2.4263,2.1929
138,326.67,2,40,0.6833,0.8710,0.0556,2.4263,2.1929
139,326.67,2,30,0.7433,0.8702,0.0909,2.4263,2.1929
140,260.83,2,40,0.5583,0.8693,0.0909,2.4263,2.1929
141,326.67,2,30,0.6833,0.8684,0.0833,2.4263,2.1929
142,260.83,2,40,0.5583,0.8676,0.0833,2.4263,2.1929
143,326.67,2,50,0.6833,0.8667,0.0769,2.4263,2.1929
144,392.50,3,50,0.0250,0.8658,0.2000,2.4263,2.1929
145,392.50,3,60,0.0850,0.8650,0.3333,2.4263,2.1929
146,459.17,3,50,-0.6417,0.8641,0.1429,2.4263,2.1929
147,392.50,3,40,0.0250,0.8632,0.1250,2.4263,2.1929
148,326.67,2,30,0.6833,0.8624,0.0769,2.4263,2.1929
149,260.83,2,30,0.5583,0.8615,0.0526,2.4263,2.1929
150,260.83,2,30,0.6183,0.8606,0.0500,2.4263,2.1929
151,260.83,2,30,0.6183,0.8598,0.0476,2.4263,2.1929
152,260.83,2,20,0.6183,0.8589,0.0714,2.4263,2.1929
153,195.00,1,30,-0.1000,0.8581,0.0556,2.4263,2.1929
154,261.67,2,30,0.5667,0.8572,0.0455,2.4263,2.1929
155,261.67,2,40,0.6267,0.8564,0.0714,2.4263,2.1929
156,327.50,2,40,0.6750,0.8555,0.0435,2.4263,2.1929
157,327.50,2,40,0.7350,0.8546,0.0417,2.4263,2.1929
158,326.67,2,30,0.7433,0.8538,0.0667,2.4263,2.1929
159,261.67,2,20,0.5667,0.8529,0.0625,2.4263,2.1929
160,195.83,1,20,-0.0917,0.8521,0.0526,2.4263,2.1929
161,195.83,1,10,-0.0317,0.8512,0.0417,2.4263,2.1929
162,130.00,1,20,-0.7500,0.8504,0.0526,2.4263,2.1929
163,195.83,1,30,-0.0917,0.8495,0.0500,2.4263,2.1929
164,261.67,2,20,0.5667,0.8487,0.0588,2.4263,2.1929
165,195.83,1,10,-0.0917,0.8478,0.0400,2.4263,2.1929
166,129.17,1,20,-0.7583,0.8470,0.0476,2.4263,2.1929
167,195.00,1,30,-0.1000,0.8461,0.0455,2.4263,2.1929
168,260.83,2,40,0.5583,0.8453,0.0667,2.4263,2.1929
169,327.50,2,50,0.6750,0.8444,0.0625,2.4263,2.1929
170,394.17,3,40,0.0083,0.8436,0.1111,2.4263,2.1929
171,327.50,2,40,0.6750,0.8428,0.0400,2.4263,2.1929
172,327.50,2,50,0.7350,0.8419,0.0588,2.4263,2.1929
173,393.33,3,40,0.0167,0.8411,0.1000,2.4263,2.1929
174,327.50,2,40,0.6750,0.8402,0.0385,2.4263,2.1929
175,327.50,2,30,0.7350,0.8394,0.0556,2.4263,2.1929
176,261.67,2,40,0.5667,0.8385,0.0556,2.4263,2.1929
177,327.50,2,30,0.6750,0.8377,0.0526,2.4263,2.1929
178,261.67,2,30,0.5667,0.8369,0.0370,2.4263,2.1929
179,260.83,2,30,0.6183,0.8360,0.0357,2.4263,2.1929
180,260.83,2,40,0.6183,0.8352,0.0526,2.4263,2.1929
181,327.50,2,50,0.6750,0.8344,0.0500,2.4263,2.1929
182,393.33,3,50,0.0167,0.8335,0.1667,2.4263,2.1929
183,393.33,3,40,0.0767,0.8327,0.0909,2.4263,2.1929
184,326.67,2,30,0.6833,0.8319,0.0500,2.4263,2.1929
185,260.83,2,40,0.5583,0.8310,0.0476,2.4263,2.1929
186,326.67,2,40,0.6833,0.8302,0.0345,2.4263,2.1929
187,326.67,2,50,0.7433,0.8294,0.0455,2.4263,2.1929
188,393.33,3,60,0.0167,0.8285,0.2500,2.4263,2.1929
189,459.17,3,50,-0.6417,0.8277,0.0833,2.4263,2.1929
190,393.33,3,40,0.0167,0.8269,0.0769,2.4263,2.1929
191,326.67,2,50,0.6833,0.8261,0.0435,2.4263,2.1929
192,392.50,3,50,0.0250,0.8252,0.1429,2.4263,2.1929
193,392.50,3,50,0.0850,0.8244,0.1250,2.4263,2.1929
194,392.50,3,40,0.0850,0.8236,0.0714,2.4263,2.1929
195,326.67,2,40,0.6833,0.8228,0.0333,2.4263,2.1929
196,326.67,2,50,0.7433,0.8219,0.0417,2.4263,2.1929
197,391.67,3,50,0.0333,0.8211,0.1111,2.4263,2.1929
198,393.33,3,40,0.0767,0.8203,0.0667,2.4263,2.1929
199,325.83,2,50,0.6917,0.8195,0.0400,2.4263,2.1929
200,392.50,3,40,0.0250,0.8187,0.0625,2.4263,2.1929
201,325.83,2,30,0.6917,0.8178,0.0476,2.4263,2.1929
202,260.00,2,20,0.5500,0.8170,0.0455,2.4263,2.1929
203,195.00,1,10,-0.1000,0.8162,0.0385,2.4263,2.1929
204,128.33,1,20,-0.7667,0.8154,0.0435,2.4263,2.1929
205,195.00,1,20,-0.1000,0.8146,0.0500,2.4263,2.1929
206,195.00,1,30,-0.0400,0.8138,0.0417,2.4263,2.1929
207,261.67,2,40,0.5667,0.8129,0.0385,2.4263,2.1929
